DATE,CSUSHPISA
01-06-2003,132.649
01-07-2003,133.777
01-08-2003,134.968
01-09-2003,136.294
01-10-2003,137.532
01-11-2003,138.793
01-12-2003,140.179
01-01-2004,141.646
01-02-2004,143.191
01-03-2004,145.059
01-04-2004,146.592
01-05-2004,148.185
01-06-2004,149.85
01-07-2004,151.338
01-08-2004,152.634
01-09-2004,154.179
01-10-2004,155.75
01-11-2004,157.527
01-12-2004,159.33
01-01-2005,161.288
01-02-2005,163.344
01-03-2005,165.812
01-04-2005,167.501
01-05-2005,169.35
01-06-2005,171.19
01-07-2005,172.859
01-08-2005,174.443
01-09-2005,176.437
01-10-2005,178.027
01-11-2005,179.68
01-12-2005,180.91
01-01-2006,182.32
01-02-2006,183.287
01-03-2006,184.364
01-04-2006,184.329
01-05-2006,184.156
01-06-2006,183.507
01-07-2006,183.067
01-08-2006,182.596
01-09-2006,182.798
01-10-2006,183.198
01-11-2006,183.609
01-12-2006,184.138
01-01-2007,184.516
01-02-2007,184.598
01-03-2007,184.149
01-04-2007,183.01
01-05-2007,181.6
01-06-2007,180.254
01-07-2007,179.111
01-08-2007,178.117
01-09-2007,177.558
01-10-2007,176.624
01-11-2007,175.147
01-12-2007,174.342
01-01-2008,173.132
01-02-2008,171.54
01-03-2008,170.053
01-04-2008,168.338
01-05-2008,166.659
01-06-2008,165.017
01-07-2008,163.566
01-08-2008,161.988
01-09-2008,160.308
01-10-2008,158.326
01-11-2008,156.141
01-12-2008,153.618
01-01-2009,151.506
01-02-2009,150.014
01-03-2009,148.66
01-04-2009,147.948
01-05-2009,147.695
01-06-2009,148.09
01-07-2009,148.409
01-08-2009,148.277
01-09-2009,148.024
01-10-2009,147.849
01-11-2009,148.134
01-12-2009,147.929
01-01-2010,147.395
01-02-2010,145.631
01-03-2010,145.859
01-04-2010,146.404
01-05-2010,146.394
01-06-2010,145.72
01-07-2010,144.99
01-08-2010,143.915
01-09-2010,143.018
01-10-2010,142.531
01-11-2010,142.172
01-12-2010,142.061
01-01-2011,141.522
01-02-2011,140.351
01-03-2011,139.982
01-04-2011,140.01
01-05-2011,139.905
01-06-2011,139.862
01-07-2011,139.73
01-08-2011,139.308
01-09-2011,138.669
01-10-2011,137.953
01-11-2011,137.153
01-12-2011,136.675
01-01-2012,136.608
01-02-2012,136.533
01-03-2012,137.905
01-04-2012,139.155
01-05-2012,140.155
01-06-2012,141.03
01-07-2012,141.669
01-08-2012,142.281
01-09-2012,142.909
01-10-2012,143.602
01-11-2012,144.586
01-12-2012,145.503
01-01-2013,146.827
01-02-2013,147.783
01-03-2013,149.963
01-04-2013,151.519
01-05-2013,152.849
01-06-2013,154.199
01-07-2013,155.604
01-08-2013,156.965
01-09-2013,158.227
01-10-2013,159.242
01-11-2013,160.074
01-12-2013,160.993
01-01-2014,161.927
01-02-2014,162.527
01-03-2014,163.088
01-04-2014,163.395
01-05-2014,163.662
01-06-2014,164.062
01-07-2014,164.576
01-08-2014,165.216
01-09-2014,165.907
01-10-2014,166.643
01-11-2014,167.337
01-12-2014,168.052
01-01-2015,168.634
01-02-2015,169.132
01-03-2015,169.801
01-04-2015,170.299
01-05-2015,170.882
01-06-2015,171.467
01-07-2015,172.129
01-08-2015,172.938
01-09-2015,173.83
01-10-2015,174.793
01-11-2015,175.739
01-12-2015,176.545
01-01-2016,177.272
01-02-2016,177.652
01-03-2016,178.168
01-04-2016,178.768
01-05-2016,179.431
01-06-2016,180.079
01-07-2016,180.829
01-08-2016,181.854
01-09-2016,182.827
01-10-2016,183.756
01-11-2016,184.765
01-12-2016,185.726
01-01-2017,186.8
01-02-2017,187.314
01-03-2017,187.992
01-04-2017,188.727
01-05-2017,189.622
01-06-2017,190.512
01-07-2017,191.454
01-08-2017,192.675
01-09-2017,193.774
01-10-2017,194.82
01-11-2017,195.964
01-12-2017,197.17
01-01-2018,198.294
01-02-2018,199.211
01-03-2018,199.952
01-04-2018,200.655
01-05-2018,201.433
01-06-2018,202.243
01-07-2018,202.926
01-08-2018,203.714
01-09-2018,204.389
01-10-2018,205.159
01-11-2018,205.692
01-12-2018,206.149
01-01-2019,206.495
01-02-2019,206.792
01-03-2019,207.017
01-04-2019,207.51
01-05-2019,208.157
01-06-2019,208.677
01-07-2019,209.319
01-08-2019,210.145
01-09-2019,210.97
01-10-2019,211.874
01-11-2019,212.819
01-12-2019,213.906
01-01-2020,214.904
01-02-2020,215.721
01-03-2020,216.314
01-04-2020,216.809
01-05-2020,217.015
01-06-2020,217.657
01-07-2020,219.448
01-08-2020,222.484
01-09-2020,225.937
01-10-2020,229.888
01-11-2020,233.253
01-12-2020,236.433
01-01-2021,239.413
01-02-2021,242.123
01-03-2021,245.325
01-04-2021,249.077
01-05-2021,253.474
01-06-2021,258.423
01-07-2021,262.956
01-08-2021,267.005
01-09-2021,270.523
01-10-2021,273.931
01-11-2021,277.284
01-12-2021,281.266
01-01-2022,285.708
01-02-2022,290.795
01-03-2022,296.271
01-04-2022,300.625
01-05-2022,303.904
01-06-2022,304.817
01-07-2022,304.108
01-08-2022,301.638
01-09-2022,299.443
01-10-2022,299.017
01-11-2022,298.232
01-12-2022,297.189
01-01-2023,296.601
01-02-2023,296.958
01-03-2023,298.21
01-04-2023,300.214
01-05-2023,302.657
01-06-2023,304.635
